symbol,MeltingT,MiracleRadius,CovalentRadius,FirstIonizationEnergy,GSestFCClatcnt,Electronegativity,Density,ZungerPP-r_s,DipolePolarizability,GSestBCClatcnt,LogThermalConductivity,NsValence,GSmagmom,Polarizability,NValence,IsAlkali,AtomicVolume,phi,Number,IsNonmetal,NfValence,HHIp,VdWRadius,HHIr,NpUnfilled,BulkModulus,ZungerPP-r_p,NsUnfilled,ZungerPP-r_sigma,ThermalConductivity,AtomicRadius,ShearModulus,IonizationEnergies,IsMetalloid,NfUnfilled,SecondIonizationEnergy,OxidationStates,IsDBlock,AtomicWeight,HeatVaporization,MendeleevNumber,GSvolume_pa,NUnfilled,IsMetal,ElectronAffinity,NdUnfilled,NdValence,MolarVolume,Column,ICSDVolume,IsFBlock,SpaceGroupNumber,HeatCapacityMass,AllenElectronegativity,BoilingT,GSenergy_pa,HeatCapacityMolar,n_ws^third,HeatFusion,ZungerPP-r_d,ZungerPP-r_pi,NpValence,Row,FusionEnthalpy,GSbandgap
Cf,1173.0,,,6.2817,4.166321749,1.3,15100.0,,20.5,3.306811764,,2.0,0.3180036375,20.5,12.0,0.0,27.6029833216396,,98.0,0.0,10.0,,,,0.0,,,0.0,,,,,,0.0,4.0,11.8,[3.0],0.0,251.0,,32.0,18.08,4.0,1.0,,0.0,0.0,16.5,3.0,27.31,1.0,194.0,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Es,1133.0,,,6.42,4.166321749,1.3,,,19.7,3.306811764,,2.0,0.3180036375,19.7,13.0,0.0,,,99.0,0.0,11.0,,,,0.0,,,0.0,,,,,,0.0,3.0,12.0,[3.0],0.0,252.0,,34.0,18.08,3.0,1.0,,0.0,0.0,28.52,3.0,27.31,1.0,,,,,-14.326634305,,,9.41,,,0.0,7.0,9.41,0.0
Fm,1800.0,,,6.5,4.166321749,1.3,,,23.8,3.306811764,,2.0,0.3180036375,23.8,14.0,0.0,,,100.0,0.0,12.0,,,,0.0,,,0.0,,,,,6.5,0.0,2.0,,[3.0],0.0,257.0,,36.0,18.08,2.0,1.0,,0.0,0.0,,3.0,27.31,1.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Md,1100.0,,,6.58,4.166321749,1.3,,,18.2,3.306811764,,2.0,0.3180036375,18.2,15.0,0.0,,,101.0,0.0,13.0,,,,0.0,,,0.0,,,,,6.58,0.0,1.0,,[3.0],0.0,258.0,,38.0,18.08,1.0,1.0,,0.0,0.0,,3.0,27.31,1.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
No,1100.0,,,6.65,4.166321749,1.3,,,16.4,3.306811764,,2.0,0.3180036375,16.4,16.0,0.0,,,102.0,0.0,14.0,,,,0.0,,,0.0,,,,,6.65,0.0,0.0,,[3.0],0.0,259.0,,40.0,18.08,0.0,1.0,,0.0,0.0,,3.0,27.31,1.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Lr,1900.0,,,4.9,4.166321749,,,,,3.306811764,,2.0,0.3180036375,,17.0,0.0,,,103.0,0.0,14.0,,,,5.0,,,0.0,,,,,4.9,0.0,0.0,,[3.0],1.0,262.0,,42.0,18.08,5.0,1.0,,0.0,0.0,,3.0,27.31,1.0,,,,,-14.326634305,,,,,,1.0,7.0,,0.0
Rf,,,,6.0,4.166321749,,,,,3.306811764,,2.0,0.3180036375,,18.0,0.0,,,104.0,0.0,14.0,,,,0.0,,,0.0,,,,,6.0,0.0,0.0,,[4.0],1.0,265.0,,,18.08,8.0,1.0,,8.0,2.0,,4.0,27.31,0.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Db,,,,,4.166321749,,,,,3.306811764,,2.0,0.3180036375,,19.0,0.0,,,105.0,0.0,14.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,[5.0],1.0,268.0,,,18.08,7.0,1.0,,7.0,3.0,,5.0,27.31,0.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Sg,,,,,4.166321749,,,,,3.306811764,,2.0,0.3180036375,,20.0,0.0,,,106.0,0.0,14.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,[6.0],1.0,271.0,,,18.08,6.0,1.0,,6.0,4.0,,6.0,27.31,0.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Bh,,,,,4.166321749,,,,,3.306811764,,2.0,0.3180036375,,21.0,0.0,,,107.0,0.0,14.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,"[4.0, 6.0, 7.0]",1.0,272.0,,,18.08,5.0,1.0,,5.0,5.0,,7.0,27.31,0.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
