symbol,MeltingT,MiracleRadius,CovalentRadius,FirstIonizationEnergy,GSestFCClatcnt,Electronegativity,Density,ZungerPP-r_s,DipolePolarizability,GSestBCClatcnt,LogThermalConductivity,NsValence,GSmagmom,Polarizability,NValence,IsAlkali,AtomicVolume,phi,Number,IsNonmetal,NfValence,HHIp,VdWRadius,HHIr,NpUnfilled,BulkModulus,ZungerPP-r_p,NsUnfilled,ZungerPP-r_sigma,ThermalConductivity,AtomicRadius,ShearModulus,IonizationEnergies,IsMetalloid,NfUnfilled,SecondIonizationEnergy,OxidationStates,IsDBlock,AtomicWeight,HeatVaporization,MendeleevNumber,GSvolume_pa,NUnfilled,IsMetal,ElectronAffinity,NdUnfilled,NdValence,MolarVolume,Column,ICSDVolume,IsFBlock,SpaceGroupNumber,HeatCapacityMass,AllenElectronegativity,BoilingT,GSenergy_pa,HeatCapacityMolar,n_ws^third,HeatFusion,ZungerPP-r_d,ZungerPP-r_pi,NpValence,Row,FusionEnthalpy,GSbandgap
Pr,1204.0,183.0,203.0,5.473,5.225662103,1.13,6640.0,,28.2,4.14761076,1.113943352,2.0,0.0,28.2,5.0,0.0,35.2391757331551,3.19,59.0,0.0,3.0,9500.0,,3100.0,0.0,29.0,,0.0,4.48,13.0,1.85,15.0,,0.0,11.0,10.55,[3.0],0.0,140.90765,330.0,17.0,35.675,11.0,1.0,50.0,0.0,0.0,20.8,3.0,34.5,1.0,194.0,0.193,1.34,3563.0,-4.77382996,27.2,1.2,6.89,,,0.0,6.0,6.89,0.0
Nd,1294.0,182.0,201.0,5.525,5.183081107,1.14,7010.0,,31.4,4.1138142,1.230448921,2.0,0.0,31.4,6.0,0.0,34.1690548824543,3.19,60.0,0.0,4.0,9500.0,,3100.0,0.0,32.0,,0.0,3.99,17.0,1.85,16.0,,0.0,10.0,10.72,[3.0],0.0,144.242,285.0,19.0,34.81,10.0,1.0,50.0,0.0,0.0,20.59,3.0,34.2,1.0,194.0,0.19,1.47,3373.0,-4.76235134,27.45,1.2,7.14,,,0.0,6.0,7.14,0.0
Pm,1373.0,185.0,199.0,5.582,5.134610166,1.155,7264.0,,30.1,4.075342789,1.176091259,2.0,0.0,30.1,7.0,0.0,33.1475485627589,3.19,61.0,0.0,5.0,9500.0,,3100.0,0.0,33.0,,0.0,3.99,15.0,1.85,18.0,,0.0,9.0,10.9,[3.0],0.0,145.0,290.0,21.0,33.8425,9.0,1.0,50.0,0.0,0.0,20.23,3.0,33.67,1.0,194.0,,1.6,3273.0,-4.7446213425,,1.21,,,,0.0,6.0,,0.0
Sm,1345.0,185.0,198.0,5.6437,5.103445064,1.17,7353.0,,28.8,4.050607032,1.113943352,2.0,0.0,28.8,8.0,0.0,33.9568190130002,3.2,62.0,0.0,6.0,9500.0,,3100.0,0.0,38.0,,0.0,4.14,13.0,1.85,20.0,,0.0,8.0,11.07,"[2.0, 3.0]",0.0,150.36,175.0,23.0,33.23,8.0,1.0,50.0,0.0,0.0,19.98,3.0,33.14,1.0,166.0,0.196,1.65,2076.0,-4.713379635,29.54,1.21,8.62,,,0.0,6.0,8.62,0.0
Eu,1095.0,196.0,198.0,5.67038,5.263713205,1.185,5244.0,,27.7,4.177811939,1.146128036,2.0,0.0,27.7,9.0,0.0,48.1212923577191,2.5,63.0,0.0,7.0,9500.0,,3100.0,0.0,8.3,,0.0,3.94,14.0,1.85,7.9,,0.0,7.0,11.25,"[2.0, 3.0]",0.0,151.964,175.0,25.0,36.46,7.0,1.0,50.0,0.0,0.0,28.97,3.0,48.53,1.0,229.0,0.182,1.68,1800.0,-1.82958684,27.66,0.88,9.21,,,0.0,6.0,9.21,0.0
Gd,1586.0,176.0,196.0,6.1498,5.042307669,1.2,7901.0,,23.5,4.002082249,1.041392685,2.0,0.0,23.5,10.0,0.0,33.0497243138068,3.2,64.0,0.0,7.0,9500.0,,3100.0,0.0,38.0,,0.0,3.91,11.0,1.8,22.0,,0.0,7.0,12.09,[3.0],0.0,157.25,305.0,27.0,32.05,16.0,1.0,50.0,9.0,1.0,19.9,3.0,32.98,1.0,194.0,0.235,1.72,3523.0,-4.65442131,37.03,1.21,9.67,,,0.0,6.0,9.67,0.0
Tb,1629.0,176.0,194.0,5.8638,5.025821971,1.21,8219.0,,25.5,3.988997542,1.041392685,2.0,0.0,25.5,11.0,0.0,32.109492755383,3.21,65.0,0.0,9.0,9500.0,,3100.0,0.0,38.7,,0.0,3.89,11.0,1.75,22.0,,0.0,5.0,11.52,[3.0],0.0,158.92535,295.0,29.0,31.7366666667,5.0,1.0,50.0,0.0,0.0,19.3,3.0,31.95,1.0,194.0,0.182,1.92,3503.0,-4.62921769667,28.91,1.22,10.15,,,0.0,6.0,10.15,0.0
Dy,1685.0,175.0,192.0,5.9389,4.99946661,1.22,8551.0,,24.5,3.968079278,1.041392685,2.0,0.0,24.5,12.0,0.0,31.5569998455358,3.21,66.0,0.0,10.0,9500.0,,3100.0,0.0,41.0,,0.0,3.67,11.0,1.75,25.0,,0.0,4.0,11.67,[3.0],0.0,162.5,280.0,31.0,31.24,4.0,1.0,50.0,0.0,0.0,19.01,3.0,31.6,1.0,194.0,0.173,1.76,2840.0,-4.60155445333,28.16,1.22,11.35,,,0.0,6.0,11.35,0.0
Ho,1747.0,177.0,192.0,6.0215,4.972291172,1.23,8795.0,,23.6,3.946510119,1.204119983,2.0,0.0,23.6,13.0,0.0,31.1403799107649,3.22,67.0,0.0,11.0,9500.0,,3100.0,0.0,40.0,,0.0,3.65,16.0,1.75,26.0,,0.0,3.0,11.8,[3.0],0.0,164.93032,265.0,33.0,30.7333333333,3.0,1.0,50.0,0.0,0.0,18.74,3.0,31.11,1.0,194.0,0.165,1.789,2973.0,-4.57741687667,27.15,1.22,11.76,,,0.0,6.0,11.76,0.0
Er,1770.0,175.0,189.0,6.1077,4.964278739,1.24,9066.0,,22.7,3.940150647,1.176091259,2.0,0.0,22.7,14.0,0.0,30.6360683670134,3.22,68.0,0.0,12.0,9500.0,,3100.0,0.0,44.0,,0.0,3.63,15.0,1.75,28.0,,0.0,2.0,11.93,[3.0],0.0,167.259,285.0,35.0,30.585,2.0,1.0,50.0,0.0,0.0,18.46,3.0,30.67,1.0,194.0,0.168,1.854,3141.0,-4.563633745,28.12,1.23,19.9,,,0.0,6.0,19.9,0.0
Tm,1818.0,175.0,190.0,6.18431,4.920337518,1.25,9321.0,,21.8,3.905274476,1.230448921,2.0,0.0,21.8,15.0,0.0,30.0963858478217,3.22,69.0,0.0,13.0,9500.0,,3100.0,0.0,45.0,,0.0,3.6,17.0,1.75,31.0,,0.0,1.0,12.05,[3.0],0.0,168.93421,250.0,37.0,29.78,1.0,1.0,50.0,0.0,0.0,19.1,3.0,30.14,1.0,194.0,0.16,2.01,2223.0,-4.47387849,27.03,1.23,16.84,,,0.0,6.0,16.84,0.0
Yb,1092.0,190.0,187.0,6.25416,5.148606152,1.26,6570.0,,20.9,4.086451411,1.591064607,2.0,0.0,20.9,16.0,0.0,43.7396719385591,2.58,70.0,0.0,14.0,9500.0,,3100.0,0.0,31.0,,0.0,3.59,39.0,1.75,9.9,,0.0,0.0,12.176,"[2.0, 3.0]",0.0,173.054,160.0,39.0,34.12,0.0,1.0,50.0,0.0,0.0,24.84,3.0,41.17,1.0,225.0,0.155,2.19,1469.0,-1.47410408,26.74,0.92,7.66,,,0.0,6.0,7.66,0.0
Lu,1936.0,175.0,187.0,5.42586,4.869419431,1.27,9841.0,,21.9,3.864860763,1.204119983,2.0,0.0022471,21.9,17.0,0.0,29.5240319080689,3.22,71.0,0.0,14.0,9500.0,,3100.0,0.0,48.0,,0.0,3.37,16.0,1.75,27.0,,0.0,0.0,13.9,[3.0],1.0,174.9668,415.0,41.0,28.865,9.0,1.0,50.0,9.0,1.0,17.78,3.0,29.52,1.0,194.0,0.154,2.39,3675.0,-4.52300002,26.86,1.24,18.65,,,0.0,6.0,18.65,0.0
Hf,2506.0,158.0,175.0,6.82507,4.461398209,1.3,13310.0,1.3,16.2,3.541014105,1.361727836,2.0,0.0,16.2,18.0,0.0,22.2687111944408,3.6,72.0,0.0,14.0,3400.0,,2600.0,0.0,110.0,1.61,0.0,2.91,23.0,1.55,30.0,,0.0,0.0,15.0,[4.0],1.0,178.49,630.0,45.0,22.2,8.0,1.0,0.0,8.0,2.0,13.44,4.0,22.42,0.0,194.0,0.144,2.6,4876.0,-9.954299335,25.73,1.45,27.2,0.63,0.31,0.0,6.0,27.2,0.0
Ta,3290.0,145.0,170.0,7.54957,4.169391995,1.5,16650.0,1.25,13.1,3.309248619,1.755874856,2.0,0.0,13.1,19.0,0.0,18.0467295591839,4.05,73.0,0.0,14.0,2300.0,,4800.0,0.0,200.0,1.54,0.0,2.79,57.0,1.45,69.0,7.54957,0.0,0.0,,[5.0],1.0,180.94788,735.0,48.0,18.12,7.0,1.0,31.0,7.0,3.0,10.85,5.0,17.65,0.0,229.0,0.14,0.67,5731.0,-11.85139954,25.36,1.63,36.57,0.605,0.29,0.0,6.0,36.57,0.0
W,3695.0,135.0,162.0,7.86403,4.004162334,2.36,19250.0,1.22,11.1,3.178105751,2.230448921,2.0,0.0,11.1,20.0,0.0,15.8587344239951,4.8,74.0,0.0,14.0,7000.0,,4300.0,0.0,310.0,1.515,0.0,2.735,170.0,1.35,161.0,,0.0,0.0,16.1,[6.0],1.0,183.84,800.0,51.0,16.05,6.0,1.0,78.6,6.0,4.0,9.47,6.0,15.85,0.0,229.0,0.132,0.89,5828.0,-12.95880062,24.27,1.81,52.31,0.59,0.295,0.0,6.0,52.31,0.0
Re,3459.0,137.0,151.0,7.83352,3.884620563,1.9,21020.0,1.19,9.7,3.083225384,1.681241237,2.0,0.0,9.7,21.0,0.0,14.7103342296135,5.2,75.0,0.0,14.0,3300.0,,3300.0,0.0,370.0,1.49,0.0,2.68,48.0,1.35,178.0,7.83352,0.0,0.0,,"[4.0, 6.0, 7.0]",1.0,186.207,705.0,54.0,14.655,5.0,1.0,14.5,5.0,5.0,8.86,7.0,14.71,0.0,194.0,0.137,,5869.0,-12.417027765,25.48,1.85,34.08,0.565,0.3,0.0,6.0,34.08,0.0
Os,3306.0,135.0,144.0,8.43823,3.834043137,2.2,22590.0,1.17,8.5,3.043082054,1.944482672,2.0,0.0,8.5,22.0,0.0,13.98369766809,5.4,76.0,0.0,14.0,5500.0,,9100.0,0.0,,1.48,0.0,2.65,88.0,1.3,222.0,8.43823,0.0,0.0,,"[3.0, 4.0]",1.0,190.23,630.0,57.0,14.09,4.0,1.0,106.1,4.0,6.0,8.42,8.0,13.8,0.0,194.0,0.13,,5285.0,-11.22070399,24.7,1.85,57.85,0.543,0.31,0.0,6.0,57.85,0.0
Ir,2739.0,136.0,141.0,8.96702,3.84489682,2.2,22560.0,1.16,7.6,3.051696628,2.176091259,2.0,0.0,7.6,23.0,0.0,14.1485504686127,5.55,77.0,0.0,14.0,5500.0,,9100.0,0.0,320.0,1.468,0.0,2.628,150.0,1.35,210.0,8.96702,0.0,0.0,,"[3.0, 4.0]",1.0,192.217,560.0,60.0,14.21,3.0,1.0,151.0,3.0,7.0,8.52,9.0,13.88,0.0,225.0,0.131,,4701.0,-8.84851145,25.1,1.83,41.12,0.526,0.308,0.0,6.0,41.12,0.0
